Settore Merceologico Principale,Settore Merceologico Secondario,Insegna,Tipo via,Via,Civico,Codice via,ZD,Accesso,Isolato,Settore Storico Cf Preval,Superficie Vendita,Superficie Altri Usi
non alimentare,NP,computer center,VIA,SANTA MONICA,3,1448,9,esterno,134,programmazione e sistemi informatici  -computer,72.0,10.0
non alimentare,NP,gavi camiceria,VIA,BELLINI GENTILE,2,5387,6,esterno,73,camiceria,39.0,0.0
non alimentare,NP,la commercialesettembrini,VIA,SETTEMBRINI LUIGI,36,2127,3,esterno,41,prodotti artigianato nazionale,107.0,13.0
alimentare,NP,produttore agricolo,CSO,MAGENTA,12,604,1,NP,291,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,produttore agricolo,VIA,OXILIA NINO,9,2287,2,NP,329,vini - olii e liquori in recip,0.0,0.0
non alimentare,NP,produttore agricolo,VIA,RIPAMONTI GIUSEPPE,436,4066,5,NP,NP,fiori e piante,0.0,0.0
non alimentare,NP,produttore agricolo,VIA,RIPAMONTI GIUSEPPE,549,4066,5,NP,501,fiori e piante,0.0,0.0
alimentare,NP,produttore agricolo,VIA,SELVANESCO,25,4350,5,NP,202,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,produttore agricolo,VLE,TROYA CARLO,23,5140,6,NP,29,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,specialita  regionali,VIA,SAMMARTINI GIOVANNI BATTISTA,69,1202,2,esterno,141,panificio (con forno),18.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO GRANDE,2,5144,6,esterno,57,gelateria,14.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,esterno,74,gelateria,25.0,7.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,esterno,74,panificio (con forno),30.0,30.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,NP,NP,bibite,3.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,34,5161,6,NP,NP,bevande in attivita' artigianale,4.0,24.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,6,5161,6,esterno,74,bibite e bevande analcoliche,17.0,18.0
alimentare,NP,NP,BST,DI PORTA VENEZIA,1,2106,1,esterno,18,latteria,32.0,45.0
alimentare,NP,NP,BST,DI PORTA VOLTA,9,1066,1,esterno,84,minimercati,30.0,20.0
alimentare,NP,NP,CSO,BUENOS AIRES,15,2129,3,esterno,105,"frutta, verdura e funghi",37.0,60.0
alimentare,NP,NP,CSO,COLOMBO CRISTOFORO,10,5114,6,esterno,48,minimercati,55.0,40.0
alimentare,NP,NP,CSO,COLOMBO CRISTOFORO,1,5114,6,esterno,55,macelleria,34.0,11.0
alimentare,NP,NP,CSO,DI PORTA NUOVA,32,1044,1,esterno,88,salumeria - rosticceria - cibi,17.0,16.0
alimentare,NP,NP,CSO,DI PORTA NUOVA,34,1044,1,esterno,88,panetteria,47.0,9.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,103,402,1,esterno,38,"frutta, verdura e funghi",24.0,10.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,128,402,1,NP,39,rosticceria,100.0,0.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,1,402,1,esterno,394,macelleria,28.0,1.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,25,402,1,esterno,327,bibite e bevande analcoliche,30.0,10.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,44,402,1,NP,270,minimercati,22.0,43.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,51,402,1,NP,NP,prodotti ittici,24.0,69.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,57,402,1,esterno,115,panificio (con forno),30.0,90.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,94,402,1,NP,NP,articoli di erboristeria,10.0,3.0
alimentare,NP,NP,CSO,DI PORTA TICINESE,96/98,541,1,NP,NP,pasticceria - gelateria,11.0,89.0
alimentare,NP,NP,CSO,DI PORTA VIGENTINA,30,4026,1,esterno,119,panificio (con forno),25.0,30.0
alimentare,NP,NP,CSO,DI PORTA VIGENTINA,32,4026,1,esterno,119,salumeria - rosticceria - cibi,24.0,21.0
alimentare,NP,NP,CSO,DI PORTA VITTORIA,42,3016,1,esterno,33,pasticceria,50.0,20.0
alimentare,NP,NP,CSO,DI PORTA VITTORIA,46,3016,1,NP,33,rosticceria,27.0,81.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,12,1010,1,NP,244,caffe crudo e torrefatto,11.0,107.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,39,1010,1,NP,NP,prodotti di cioccolateria.,16.0,17.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,49,1010,1,NP,NP,prodotti caseari,30.0,0.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,55,1010,1,NP,171,vini - olii e liquori in recip,20.0,65.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,75,1010,1,esterno,171,salumeria - rosticceria - cibi,32.0,3.0
alimentare,NP,NP,CSO,GARIBALDI GIUSEPPE,93,1010,1,NP,81,salumeria - rosticceria - cibi,30.0,30.0
alimentare,NP,NP,CSO,GENOVA,15,5164,1,esterno,217,"frutta, verdura e funghi",23.0,0.0
alimentare,NP,NP,CSO,GENOVA,19,5164,1,esterno,132,vini - olii e liquori in recip,65.0,101.0
alimentare,NP,NP,CSO,GENOVA,21,5164,1,NP,NP,prodotti alimentari in recipienti chiusi,28.0,2.0
alimentare,NP,NP,CSO,GENOVA,22,5164,1,NP,NP,"prodotti da forno, pasticceria, salumeria",8.0,56.0
alimentare,NP,NP,CSO,GENOVA,3,5164,1,NP,NP,"sushi, alimenti confezionati, bevande",19.0,15.0
alimentare,NP,NP,CSO,GENOVA,4,5164,1,esterno,455,panetteria,16.0,12.0
alimentare,NP,NP,CSO,INDIPENDENZA,20,3118,4,esterno,7,panificio (con forno),40.0,29.0
alimentare,NP,NP,CSO,ITALIA,11,526,1,esterno,355,caffe crudo e torrefatto,28.0,4.0
alimentare,NP,NP,CSO,ITALIA,23,526,1,NP,271,rosticceria,6.0,0.0
alimentare,NP,NP,CSO,ITALIA,34,526,1,NP,273,paste alimentari,34.0,143.0
alimentare,NP,NP,CSO,ITALIA,38,526,1,esterno,273,cibi cotti da asportare,35.0,8.0
alimentare,NP,NP,CSO,ITALIA,6,526,1,NP,396,pasticceria,15.0,111.0
alimentare,NP,NP,CSO,ITALIA,6,526,1,esterno,396,"frutta, verdura e funghi",41.0,25.0
alimentare,NP,NP,CSO,LODI,105,4068,4,NP,NP,"bibite, bevande e generi alimentari",2.0,19.0
alimentare,NP,NP,CSO,LODI,107,4068,4,esterno,26,panetteria,15.0,0.0
alimentare,NP,NP,CSO,LODI,108,4068,4,esterno,50,"frutta, verdura e funghi",20.0,20.0
alimentare,NP,NP,CSO,LODI,108,4068,4,esterno,50,salumeria - rosticceria - cibi,32.0,70.0
alimentare,NP,NP,CSO,LODI,108,4068,4,NP,50,bibite e bevande analcoliche,18.0,17.0
alimentare,NP,NP,CSO,LODI,113,4068,4,NP,53,panetteria,26.0,47.0
alimentare,NP,NP,CSO,LODI,13,4068,4,NP,170,bibite e bevande analcoliche,40.0,16.0
alimentare,NP,NP,CSO,LODI,26,4068,5,NP,198,minimercati,60.0,50.0
alimentare,NP,NP,CSO,LODI,36,4068,5,esterno,200,panificio (con forno),20.0,30.0
alimentare,NP,NP,CSO,LODI,80,4068,4,esterno,24,panetteria,40.0,24.0
alimentare,NP,NP,CSO,LODI,84,4068,4,esterno,24,panetteria,40.0,0.0
alimentare,NP,NP,CSO,LODI,90,4068,4,NP,24,bibite e bevande analcoliche,7.0,25.0
alimentare,NP,NP,CSO,MAGENTA,30,604,1,esterno,291,dolciumi,25.0,0.0
alimentare,NP,NP,CSO,MAGENTA,87,604,1,NP,68,salumeria,49.0,162.0
alimentare,NP,NP,CSO,MONFORTE,25,348,1,esterno,98,pasticceria,36.0,10.0
alimentare,NP,NP,CSO,SAN GOTTARDO,12,5203,5,esterno,94,panificio (con forno),40.0,0.0
alimentare,NP,NP,CSO,SAN GOTTARDO,15,5203,5,NP,95,bibite e bevande analcoliche,2.0,20.0
alimentare,NP,NP,CSO,SAN GOTTARDO,41,5203,5,NP,114,gelateria,22.0,0.0
alimentare,NP,NP,CSO,SAN GOTTARDO,49,5203,5,NP,128,paste alimentari,41.0,95.0
alimentare,NP,NP,CSO,SAN GOTTARDO,51,5203,5,esterno,128,salumeria,16.0,4.0
alimentare,NP,NP,CSO,SAN GOTTARDO,8,5203,5,esterno,94,minimercati,53.0,22.0
alimentare,NP,NP,CSO,SEMPIONE,17,7137,1,esterno,98,bibite e bevande analcoliche,12.0,28.0
alimentare,NP,NP,CSO,SEMPIONE,34,7137,8,NP,59,panineria - focacceria,53.0,66.0
alimentare,NP,NP,CSO,VENTIDUE MARZO,18,3074,4,esterno,44,salumeria - rosticceria - cibi,65.0,126.0
