,Tipo via tmp,Nome via tmp,Civico tmp,ZD tmp,Isolato,Accesso,Info plus
19264,CSO,DI PORTA ROMANA,1,1,394; , accesso esterno; , ;via paolo da cannobio 039; 
19265,VIA,BARACCHINI FLAVIO,7,1,392; , accesso esterno; , ;via baracchini flavio 007; 
19266,VIA,CHERUBINI FRANCESCO,3,7,199; , accesso esterno; , ; 
19267,VIA,MERCATO,16,1,306; , accesso esterno; , ;via mercato 016; 
19268,VIA,SOLFERINO,3,1,246; , accesso esterno; , ; 
19269,VLE,TUNISIA,24,3,100; , accesso esterno; , ; 
19270,VIA,PADOVA,10,2,358; , accesso esterno; , ; 
19271,VIA,PLINIO CAIO SECONDO,42,3,066; , accesso esterno; , ; 
19272,VIA,SAND GEORGE,2,9,101; , accesso esterno; , ; 
19273,CSO,LODI,68,4,024; , accesso esterno; , ; 
19274,VIA,FANTI MANFREDO,2,1,114; , accesso esterno; , ; 
19275,VIA,DE AMICIS EDMONDO,33,1,457; , accesso esterno; , ;via de amicis edmondo 033; 
19276,VIA,GROSSI TOMMASO,2,1,414; , accesso interno; , spaccio interno;via grossi tommaso 002; 
19277,VIA,FARA GUSTAVO,7,9,305; , accesso esterno; , ; 
19278,VIA,PONTE DI LEGNO,10,3,,, ; accesso: accesso esterno; 
19279,VIA,DOMOKOS,4,7,103; , accesso interno; , ; 
19280,VIA,SARPI FRA' PAOLO,58,8,071; , accesso esterno; , ; 
19281,VIA,CORRENTI CESARE,20,1,281; , accesso esterno; , ;via correnti cesare 020; 
19282,VIA,MONTEBELLO,7,1,177; , accesso esterno; , ; 
19283,VIA,NOVARA,558,7,008; , accesso esterno; , ; 
19284,LGO,SETTIMIO SEVERO,1,7,236; , accesso esterno; , ; 
19285,VIA,REMBRANDT,22,7,287; , accesso esterno; , ; 
19286,CSO,VERCELLI,23,7,235; , accesso esterno; , ; 
19287,VLE,SABOTINO,2,5,171; , accesso esterno; , ; 
19288,VLE,COL DI LANA,12,5,096; , accesso esterno; , ; 
19289,VIA,NICCOLINI GIOVANNI BATTISTA,20,1,118; , accesso esterno; , ; 
19290,CSO,GARIBALDI GIUSEPPE,002,1,244; , accesso esterno; ,/a; 
19291,VIA,MONTE NAPOLEONE,19,1,314; , accesso interno; , ;via monte napoleone 019; 
19292,VIA,CREMA,17,5,193; , accesso esterno; , ; 
19293,VIA,SIMONE D'ORSENIGO,21,4,076; , accesso esterno; , ; 
19294,VIA,MONTE NAPOLEONE,9,1,314; , accesso esterno; , ;via verri pietro 009; 
19295,CSO,BUENOS AIRES,39,3,059; , accesso esterno; , ; 
19296,CSO,VENTIDUE MARZO,5,4,033; , accesso esterno; , ; 
19297,CSO,VERCELLI,35,7,235; , accesso esterno; , ; 
19298,GLL,PASSARELLA,2,1,360; , accesso esterno; , ;gll passarella 002; 
19299,GLL,VITTORIO EMANUELE,069,1,415; , accesso esterno; ,; 
19300,VIA,TADINO ALESSANDRO,29,3,077; , accesso esterno; , ; 
19301,VIA,PLANA GIOVANNI ANTONIO,32,8,325; , accesso esterno; , ; 
19302,CSO,LODI,99,4,026; , accesso esterno; , ; 
19303,CSO,BUENOS AIRES,90,3,008; , accesso esterno; , ; 
19304,VIA,CASELLA GIOVANNI BATTISTA,37,8,243; , accesso esterno; , ; 
19305,VIA,FIORI CHIARI,006,1,,,; accesso: accesso esterno; 
19306,VIA,DANTE ALIGHIERI,15,1,371; , accesso esterno; , ;via dante alighieri 015; 
19307,VIA,DELLA MOSCOVA,48,1,086; , accesso esterno; , ; 
19308,VLE,MONZA,165,2,176; , accesso esterno; , ; 
19309,ALZ,NAVIGLIO GRANDE,4,6,057; ,, ; 
19310,VIA,ROSSI PELLEGRINO,15,9,182; , accesso esterno; , ; 
19311,VLE,ZARA,58,2,175; , accesso esterno; , ; 
19312,VIA,MONTECUCCOLI RAIMONDO,1,6,025; , accesso esterno; , ; 
19313,VIA,GROSSI TOMMASO,10,1,412; , accesso esterno; , ;via grossi tommaso 010; 
19314,VIA,REMBRANDT,58,7,278; , accesso esterno; , ; 
19315,VIA,FARINI CARLO,69,9,203; ,, ; 
19316,VLE,CERTOSA,182,8,190; , accesso esterno; , ; 
19317,VIA,SANTA MARIA VALLE,002,1,398; , accesso esterno; ,/a; 
19318,VIA,SANTA MARIA VALLE,002,1,399; , accesso esterno; ,/a;via torino 057; 
19319,VIA,MERAVIGLI,17,1,345; , accesso esterno; , ;via meravigli 017; 
19320,VIA,SENATO,2,1,186; , accesso esterno; , ;via senato 002; 
19321,VIA,TIVOLI,8,1,243; , accesso esterno; , ;via tivoli 008; 
19322,VLE,CALDARA EMILIO,020,1,,,/22; accesso: accesso esterno; 
19323,VIA,FARINI CARLO,69,9,203; , accesso esterno; , ; 
19324,VIA,BIELLA,24,6,065; , accesso esterno; , ; 
19325,VIA,QUADRIO MAURIZIO,23,9,313; , accesso esterno; , ; 
19326,VIA,NOVATI FRANCESCO,2,1,336; ,, con ingresso in via lanzone 19;via novati francesco 023; 
19327,VIA,LANFRANCO DELLA PILA,071,9,021; , accesso interno; ,/4; 
19328,VIA,MAESTRI CAMPIONESI,27,4,074; , accesso esterno; , ; 
19329,VIA,MONTEGANI LODOVICO,18,5,028; , accesso esterno; , ; 
19330,VLE,SARCA,198,9,051; , accesso esterno; , ; 
19331,VIA,VALLARSA,13,5,018; , accesso esterno; , ; 
